Name,RA,Dec,Mag
5478291327908201984,6:31:41.77404931,-61:55:25.48130421,"(V=16.0, g=16.2)"
5739120950877618048,9:13:01.22966647,-11:45:46.57912265,"(V=16.3, g=16.5)"
5759760536477729280,9:12:42.67609397,-3:37:19.14209223,"(V=16.6, g=16.8)"
4643794094420979200,2:43:11.47933963,-73:32:44.40501087,"(V=16.7, g=17.0)"
5478490721766253184,6:29:42.29077886,-61:48:17.48295227,"(V=16.8, g=17.1)"
4901870639058668032,0:33:11.29581545,-61:38:36.57332393,"(V=16.8, g=17.1)"
4902203108183130112,0:43:24.5372899,-62:45:06.06398095,"(V=17.0, g=17.3)"
4694659293324337408,2:14:37.4652576,-67:59:45.82326822,"(V=17.1, g=17.3)"
5097535021053953024,4:06:15.50826124,-16:39:23.82301041,"(V=17.1, g=17.4)"
3013163306128875904,5:29:42.62935096,-10:38:00.55701198,"(V=17.2, g=17.4)"
4917394648027734272,1:37:50.24169276,-50:48:24.54864981,"(V=17.2, g=17.4)"
5079615214904251776,3:00:56.13939787,-21:04:17.24317882,"(V=17.6, g=17.9)"
5064418353599379456,2:49:14.30195972,-31:41:51.10814507,"(V=17.7, g=17.9)"
4858085096743345408,3:59:42.58066915,-35:30:26.67909495,"(V=18.1, g=18.3)"
5171105474371977856,2:39:07.13244491,-11:44:39.8979236,"(V=18.1, g=18.3)"
2471494537701431680,1:16:09.66428647,-10:02:39.95702152,"(V=18.1, g=18.3)"
5022478371612475008,1:44:12.61561344,-29:37:24.91387305,"(V=18.2, g=18.4)"
4762321104297894656,4:58:53.74810824,-58:58:21.14587931,"(V=18.3, g=18.5)"
4889701862838155648,4:13:27.73110244,-26:32:50.66607609,"(V=18.6, g=18.8)"
4938508604175422976,2:16:44.05743823,-49:52:57.17294544,"(V=18.9, g=19.1)"
2528566892060795392,0:29:34.39769249,-3:42:05.64071005,"(V=19.0, g=19.2)"
4939642265086963200,2:13:36.10476704,-48:20:56.76978102,"(V=19.3, g=19.6)"
5023040737450479360,1:33:17.3027509,-29:38:00.929853,"(V=19.5, g=19.7)"
5756229317446037248,9:06:36.52668187,-7:41:12.90334451,"(V=15.1, g=15.1)"
5754093305655633536,8:46:48.99231124,-7:19:18.37061354,"(V=16.2, g=16.2)"
4630581198766904576,1:18:02.61107484,-81:30:40.50319566,"(V=16.2, g=16.2)"
5281176556935017216,7:22:30.48019572,-67:04:12.12674686,"(V=16.2, g=16.3)"
3204487816945826560,4:34:25.51670779,-3:48:18.66655258,"(V=16.7, g=16.7)"
3071735634865215360,8:40:06.83207488,-3:03:31.50082263,"(V=16.7, g=16.8)"
5194035759306361472,7:15:14.94242149,-83:51:38.0954826,"(V=17.0, g=17.0)"
2905054104502350720,5:27:01.94537869,-31:23:24.94562906,"(V=17.0, g=17.0)"
3073376312372611328,8:38:21.38119669,-1:09:52.84140557,"(V=17.1, g=17.1)"
4804774936169823616,5:42:31.25232879,-40:24:46.00661814,"(V=17.2, g=17.3)"
2892439849976054784,6:17:28.67210976,-34:02:26.83554498,"(V=17.2, g=17.3)"
5568581612169526912,6:18:18.79814065,-42:58:17.86993349,"(V=17.3, g=17.3)"
4792119759197220864,5:51:18.91586465,-53:15:30.65550244,"(V=17.3, g=17.3)"
5262503649741776128,7:24:20.29687349,-74:35:52.76930008,"(V=17.5, g=17.5)"
4769488202123908736,5:28:02.57980499,-56:13:15.53616519,"(V=17.7, g=17.7)"
4821535513466961792,5:26:47.90785987,-36:55:04.98750581,"(V=17.8, g=17.9)"
5497556214735693440,6:51:15.91597032,-54:07:04.54317452,"(V=18.0, g=18.0)"
3206730747651649024,5:18:06.17089067,-8:37:09.83626003,"(V=18.0, g=18.0)"
5489897635211978880,7:07:33.16362318,-57:06:41.64848681,"(V=18.2, g=18.2)"
5551773721512249472,6:46:08.39676515,-47:09:38.84632336,"(V=18.2, g=18.2)"
5208623628611876352,8:28:51.11277029,-79:26:43.11796889,"(V=18.2, g=18.2)"
3215231248139929216,5:17:24.4758687,-1:08:58.86071892,"(V=18.2, g=18.2)"
3214077482485457408,5:24:27.42461257,-2:24:05.34545472,"(V=18.2, g=18.3)"
4781335714791302912,4:34:03.4451214,-51:08:58.90974511,"(V=18.2, g=18.3)"
5210030045718111104,8:04:07.07152403,-77:15:43.0842186,"(V=18.3, g=18.3)"
4788218795020138496,4:36:04.79730225,-48:06:48.76982685,"(V=18.3, g=18.3)"
5485300439656961792,6:59:04.42487975,-55:04:08.00397996,"(V=18.3, g=18.4)"
3072575038978641792,8:43:43.88960771,-1:20:27.80415904,"(V=18.4, g=18.4)"
4762351890623377792,4:53:18.14442115,-59:03:23.58938212,"(V=18.4, g=18.4)"
5551125039715921664,6:35:55.93857148,-49:12:54.93285815,"(V=18.4, g=18.4)"
5756769620037376640,8:55:37.7019794,-7:49:52.4350224,"(V=18.4, g=18.5)"
5567535319479883648,6:20:22.06877877,-43:56:33.71419283,"(V=18.5, g=18.5)"
5050028628310955776,2:39:33.02393478,-35:38:30.05248708,"(V=18.5, g=18.6)"
4701455512134120448,2:28:06.93437959,-61:33:09.72398644,"(V=18.6, g=18.6)"
3208435476006611712,5:18:58.41628634,-6:04:18.63292912,"(V=18.6, g=18.7)"
5194873754668545920,7:57:03.07887942,-81:44:00.60785014,"(V=18.7, g=18.7)"
4801918095723057920,5:48:24.16217737,-44:07:12.26964989,"(V=18.8, g=18.8)"
3075000218031451904,8:45:58.30290316,-0:14:18.31031123,"(V=18.8, g=18.8)"
5215178023584015744,9:03:12.62036251,-78:00:21.42896845,"(V=18.8, g=18.9)"
5216583302523031552,8:32:39.46297412,-75:47:06.27872441,"(V=19.0, g=19.0)"
5215209084785440256,9:03:32.36859337,-77:45:07.84023124,"(V=19.1, g=19.1)"
3211223214722510080,5:07:27.89210797,-6:13:51.14475279,"(V=19.2, g=19.2)"
4823731513065558016,4:58:45.7333311,-37:08:19.62722558,"(V=19.2, g=19.2)"
4801438326400035456,5:59:53.82427488,-45:58:44.29402684,"(V=19.2, g=19.3)"
4755608379651660288,2:55:13.1319401,-43:31:04.62823548,"(V=19.3, g=19.3)"
5555491990663453312,6:26:22.13877051,-46:59:21.39701872,"(V=19.3, g=19.3)"
2896170600306048128,6:07:13.93688368,-31:31:20.47239653,"(V=19.3, g=19.4)"
3010580484595658112,5:39:03.34065257,-10:04:44.36323777,"(V=19.5, g=19.5)"
3013659808645018624,5:37:14.72724394,-9:33:37.31223796,"(V=19.5, g=19.5)"
2987299910720504192,4:54:44.64126245,-14:54:52.00710751,"(V=19.5, g=19.6)"
5188486180521913216,7:48:03.67336146,-88:32:35.34382154,"(V=19.5, g=19.6)"
5736726897452046208,8:57:07.10999131,-11:42:53.07878599,"(V=19.5, g=19.6)"
4745241393751482112,2:39:40.96957142,-51:22:42.85495963,"(V=19.6, g=19.6)"
4898261565156693632,4:35:43.89299888,-22:44:01.91785855,"(V=19.6, g=19.6)"
4892662366615049216,4:31:55.98431342,-26:28:55.25666484,"(V=19.6, g=19.6)"
5209659613377931264,7:51:30.08001036,-78:36:20.38693437,"(V=17.7, g=20.9)"
